,acc,balanced_acc,f1,weighted_f1,draws,full-blank-predictions
NaiveEnsemble,0.9504373177842566,0.9526189865846364,0.9137055837563451,0.9511133619688192,0.01749271137026239,0.0
MetaKNeighbors,0.8979591836734694,0.8899854738101342,0.8241206030150755,0.8996269955569238,0.06997084548104957,0.0728862973760933
MetaRandomForest,0.8746355685131195,0.8672989831667094,0.788177339901478,0.8773206066687604,0.061224489795918366,0.119533527696793
MetaLogisticRegression,0.8950437317784257,0.9045330257199009,0.8285714285714285,0.8981159810863121,0.052478134110787174,0.023323615160349854
MetaLSTM,0.8309037900874635,0.8404896180466547,0.7363636363636363,0.8373958178109883,0.09912536443148688,0.0
